ts,frame_idx,t_total_ms,t_refresh_ms,t_predict_ms,fps_inst,fps_avg,pupil_norm_x,pupil_norm_y,pred_norm_x,pred_norm_y,pred_screen_x,pred_screen_y
2025-08-26 15:32:07,0,382.82,381.91,0.9,0.58,0.58,0.4535,0.7146,0.8745,0.3676,1609,352
2025-08-26 15:32:07,1,347.29,346.4,0.89,1.85,1.21,0.4476,0.7172,0.8319,0.3802,1530,365
2025-08-26 15:32:08,2,342.55,341.69,0.87,2.71,1.71,0.4459,0.7203,0.8221,0.4023,1512,386
2025-08-26 15:32:08,3,351.33,350.42,0.91,2.74,1.97,0.4467,0.7203,0.8282,0.4033,1523,387
2025-08-26 15:32:08,4,349.04,348.07,0.97,2.73,2.12,0.4473,0.7229,0.8342,0.4242,1534,407
2025-08-26 15:32:09,5,347.66,346.67,0.99,2.75,2.23,0.4473,0.7255,0.8361,0.4443,1538,426
2025-08-26 15:32:09,6,344.27,343.39,0.88,2.79,2.31,0.4457,0.7208,0.8205,0.406,1509,389
2025-08-26 15:32:09,7,345.24,344.4,0.84,2.79,2.37,0.4446,0.7167,0.8092,0.3724,1489,357
2025-08-26 15:32:10,8,344.79,343.92,0.87,2.8,2.42,0.4446,0.7182,0.8104,0.3845,1491,369
2025-08-26 15:32:10,9,360.75,359.88,0.87,2.68,2.44,0.4465,0.7177,0.8242,0.3829,1516,367
2025-08-26 15:32:10,10,344.79,343.93,0.86,2.8,2.47,0.4451,0.7208,0.8164,0.4053,1502,389
2025-08-26 15:32:11,11,343.34,342.39,0.94,2.81,2.5,0.4516,0.7271,0.8697,0.4619,1600,443
2025-08-26 15:32:11,12,345.5,344.57,0.93,2.79,2.52,0.4421,0.7224,0.7953,0.4136,1463,397
2025-08-26 15:32:12,13,344.51,343.61,0.89,2.79,2.54,0.4432,0.7224,0.8034,0.415,1478,398
2025-08-26 15:32:12,14,345.11,344.24,0.87,2.79,2.56,0.4438,0.7193,0.8051,0.3915,1481,375
2025-08-26 15:32:12,15,343.57,342.69,0.88,2.81,2.58,0.4448,0.7208,0.8144,0.405,1498,388
2025-08-26 15:32:13,16,346.41,345.54,0.87,2.78,2.59,0.4579,0.7219,0.9124,0.4295,1678,412
2025-08-26 15:32:13,17,346.09,345.19,0.9,2.77,2.6,0.478,0.724,1.0,0.471,1840,452
2025-08-26 15:32:13,18,346.39,345.46,0.93,2.78,2.61,0.4859,0.7219,1.0,0.4648,1840,446
2025-08-26 15:32:14,19,344.85,343.97,0.88,2.79,2.62,0.4924,0.7224,1.0,0.4771,1840,458
2025-08-26 15:32:14,20,331.43,330.56,0.87,2.9,2.63,0.4957,0.7229,1.0,0.4853,1840,465
2025-08-26 15:32:14,21,330.78,329.88,0.9,2.9,2.64,0.4973,0.7266,1.0,0.5155,1840,494
2025-08-26 15:32:15,22,332.02,331.13,0.89,2.9,2.65,0.4954,0.7286,1.0,0.5292,1840,508
2025-08-26 15:32:15,23,330.27,329.39,0.88,2.89,2.66,0.4948,0.7292,1.0,0.5325,1840,511
2025-08-26 15:32:15,24,332.74,331.87,0.87,2.89,2.67,0.4938,0.7307,1.0,0.5433,1840,521
2025-08-26 15:32:16,25,330.46,329.59,0.87,2.89,2.68,0.4837,0.7349,1.0,0.5628,1840,540
2025-08-26 15:32:16,26,330.61,329.72,0.89,2.91,2.69,0.4766,0.7625,1.0,0.7673,1840,736
2025-08-26 15:32:16,27,318.68,318.61,0.08,3.01,2.7,,,,,,
2025-08-26 15:32:17,28,318.84,318.77,0.07,3.01,2.71,,,,,,
2025-08-26 15:32:17,29,320.53,320.46,0.07,2.99,2.72,,,,,,
2025-08-26 15:32:17,30,318.99,318.92,0.07,3.0,2.73,,,,,,
2025-08-26 15:32:18,31,319.04,318.97,0.07,3.02,2.74,,,,,,
2025-08-26 15:32:18,32,319.05,318.98,0.07,3.02,2.75,,,,,,
2025-08-26 15:32:18,33,319.02,318.95,0.07,3.02,2.75,,,,,,
2025-08-26 15:32:19,34,318.77,318.7,0.07,3.02,2.76,,,,,,
2025-08-26 15:32:19,35,318.95,318.85,0.1,3.01,2.77,,,,,,
2025-08-26 15:32:19,36,318.69,318.62,0.07,3.01,2.78,,,,,,
2025-08-26 15:32:20,37,330.84,329.96,0.88,2.91,2.78,0.4345,0.7771,0.7794,0.8268,1434,793
2025-08-26 15:32:20,38,330.34,329.43,0.91,2.9,2.78,0.4315,0.7859,0.7638,0.8915,1405,855
2025-08-26 15:32:20,39,330.5,329.62,0.88,2.9,2.79,0.431,0.7953,0.7667,0.9633,1410,924
2025-08-26 15:32:21,40,318.82,318.75,0.07,2.98,2.79,,,,,,
2025-08-26 15:32:21,41,318.63,318.53,0.1,3.02,2.8,,,,,,
2025-08-26 15:32:21,42,318.92,318.84,0.08,3.02,2.8,,,,,,
2025-08-26 15:32:22,43,330.63,329.76,0.87,2.91,2.8,0.4242,0.788,0.7106,0.8984,1307,862
2025-08-26 15:32:22,44,319.16,319.09,0.07,3.01,2.81,,,,,,
2025-08-26 15:32:22,45,319.31,319.24,0.07,3.01,2.81,,,,,,
2025-08-26 15:32:23,46,319.04,318.97,0.07,3.02,2.82,,,,,,
2025-08-26 15:32:23,47,319.12,319.05,0.07,3.01,2.82,,,,,,
2025-08-26 15:32:23,48,319.1,319.03,0.07,3.02,2.82,,,,,,
2025-08-26 15:32:24,49,319.09,319.02,0.07,3.02,2.83,,,,,,
2025-08-26 15:32:24,50,319.0,318.93,0.07,3.02,2.83,,,,,,
2025-08-26 15:32:24,51,319.25,319.18,0.07,3.01,2.84,,,,,,
2025-08-26 15:32:25,52,319.26,319.18,0.07,3.01,2.84,,,,,,
2025-08-26 15:32:25,53,319.13,319.06,0.07,3.02,2.84,,,,,,
2025-08-26 15:32:25,54,330.36,329.48,0.88,2.92,2.84,0.4109,0.7047,0.5491,0.2372,1010,227
2025-08-26 15:32:26,55,330.31,329.43,0.88,2.91,2.85,0.412,0.7016,0.5548,0.2145,1020,205
2025-08-26 15:32:26,56,330.35,329.47,0.88,2.86,2.85,0.4125,0.7,0.5577,0.2031,1026,194
2025-08-26 15:32:27,57,330.64,329.77,0.87,2.87,2.85,0.4147,0.7,0.5739,0.2058,1056,197
2025-08-26 15:32:27,58,330.57,329.65,0.92,2.91,2.85,0.4147,0.7021,0.5755,0.2219,1058,213
2025-08-26 15:32:27,59,330.48,329.58,0.9,2.9,2.85,0.4149,0.7026,0.5779,0.2263,1063,217
2025-08-26 15:32:28,60,330.73,329.81,0.91,2.91,2.89,0.4144,0.7031,0.5742,0.2296,1056,220
2025-08-26 15:32:28,61,319.18,319.1,0.07,3.01,2.91,,,,,,
2025-08-26 15:32:28,62,330.95,330.06,0.89,2.91,2.91,0.4239,0.7042,0.6459,0.2497,1188,239
2025-08-26 15:32:29,63,330.54,329.61,0.93,2.9,2.91,0.416,0.7042,0.5872,0.2397,1080,230
2025-08-26 15:32:29,64,330.77,329.85,0.93,2.91,2.91,0.4155,0.7042,0.5831,0.2391,1072,229
2025-08-26 15:32:29,65,318.93,318.87,0.07,3.0,2.92,,,,,,
2025-08-26 15:32:30,66,318.95,318.88,0.07,3.02,2.92,,,,,,
2025-08-26 15:32:30,67,319.09,319.02,0.07,3.02,2.93,,,,,,
2025-08-26 15:32:30,68,318.84,318.77,0.07,3.0,2.93,,,,,,
2025-08-26 15:32:31,69,319.06,318.99,0.07,3.01,2.94,,,,,,
2025-08-26 15:32:31,70,321.55,321.47,0.07,2.99,2.94,,,,,,
2025-08-26 15:32:31,71,319.13,319.06,0.07,3.02,2.94,,,,,,
2025-08-26 15:32:32,72,318.77,318.7,0.07,3.02,2.95,,,,,,
2025-08-26 15:32:32,73,319.15,319.08,0.07,3.01,2.95,,,,,,
2025-08-26 15:32:32,74,318.74,318.67,0.07,3.01,2.95,,,,,,
2025-08-26 15:32:33,75,330.76,329.87,0.89,2.91,2.96,0.4552,0.7182,0.8894,0.3979,1636,381
2025-08-26 15:32:33,76,330.59,329.71,0.88,2.9,2.96,0.4598,0.7245,0.9285,0.452,1708,433
